"","ID","param","mean","pc2.5","pc97.5","overlap0","gel"
"dYdX1680",1680,"dYdX",14.0482119807611,10.804140287794,17.4906867784098,FALSE,1.00008336235031
"dYdX1681",1681,"dYdX",13.2138233511217,10.2917574405931,16.4587533243855,FALSE,1.00007265790575
"dYdX1682",1682,"dYdX",11.5663890683844,9.14112689198767,14.5174536588981,FALSE,1.00004649599575
"dYdX1683",1683,"dYdX",10.5217809359487,8.38144980141465,13.1235168546267,FALSE,1.00000761557132
"dYdX1684",1684,"dYdX",9.96647726858936,8.13842999791459,12.0511773105694,FALSE,1.00001825045997
"dYdX1685",1685,"dYdX",8.92814241663271,7.21783773627803,10.8900859487912,FALSE,1.00008151793458
"dYdX1686",1686,"dYdX",7.82024296172479,6.22369827924794,9.61611079745584,FALSE,1.00009500289534
"dYdX1687",1687,"dYdX",6.93602658902688,5.52165262854275,8.48896218745986,FALSE,1.00009628446752
"dYdX1688",1688,"dYdX",6.00461230230035,4.6522981726714,7.48445372609735,FALSE,1.00016273937449
"dYdX1689",1689,"dYdX",5.07554031258868,3.74333612111071,6.53976342662943,FALSE,1.00020969006765
"dYdX1690",1690,"dYdX",4.33452015755545,2.99080336650935,5.76703952868914,FALSE,1.00024371368518
"dYdX1691",1691,"dYdX",3.83709041379169,2.46435271640883,5.27287639818616,FALSE,1.00027469422417
"dYdX1692",1692,"dYdX",3.48222609764586,2.15843010467396,4.84652214477038,FALSE,1.00029443107398
"dYdX1693",1693,"dYdX",3.22225564574279,1.95226022831742,4.51115369532579,FALSE,1.00030266709408
"dYdX1694",1694,"dYdX",3.01689599547679,1.71407493025343,4.3389663771486,FALSE,1.00029613464678
"dYdX1695",1695,"dYdX",2.84534208733131,1.60062754955247,4.11121286860722,FALSE,1.00029787624162
"dYdX1696",1696,"dYdX",2.58463103803124,1.3619212253589,3.8297994495993,FALSE,1.00031537031012
"dYdX1697",1697,"dYdX",2.38799246019258,1.1152127958462,3.68827461541373,FALSE,1.0003295870746
"dYdX1698",1698,"dYdX",12.822733732601,9.59477254160077,16.3593155884332,FALSE,1.00008036365008
"dYdX1699",1699,"dYdX",11.3239874666174,8.51478068663756,14.6859514761846,FALSE,1.00007043635407
"dYdX1700",1700,"dYdX",10.382903173571,7.80805719996448,13.45252740798,FALSE,1.0000511621656
"dYdX1701",1701,"dYdX",9.74929678104533,7.42176214268975,12.4809929582004,FALSE,1.00007910124609
"dYdX1702",1702,"dYdX",8.74942424303846,6.6699762129742,11.20752768701,FALSE,1.0000968628148
"dYdX1703",1703,"dYdX",7.44499586431522,5.74676347601537,9.55043017297681,FALSE,1.00009372655665
"dYdX1704",1704,"dYdX",5.89424709869463,4.37027703425323,7.87196767918414,FALSE,1.00011059236205
"dYdX1705",1705,"dYdX",4.55018006971159,3.07041575232973,6.39020621145277,FALSE,1.00019376563295
"dYdX1706",1706,"dYdX",3.62001705038265,2.23438260142656,5.22455217333182,FALSE,1.0002959105702
"dYdX1707",1707,"dYdX",2.86375772788473,1.55965886760658,4.29137886150874,FALSE,1.00039139329506
"dYdX1708",1708,"dYdX",2.20058113185101,0.938073511642251,3.50857626663769,FALSE,1.00043943565262
"dYdX1709",1709,"dYdX",1.73102768817776,0.536287104149864,2.93771891846535,FALSE,1.00047313904105
"dYdX1710",1710,"dYdX",1.345230874611,0.165487443276841,2.53022537258567,FALSE,1.00049936184894
"dYdX1711",1711,"dYdX",0.773325321373041,-0.448686850223431,2.01474640041903,TRUE,1.00050230331282
"dYdX1712",1712,"dYdX",0.294330905580218,-1.00999960683984,1.60479619516494,TRUE,1.00049624618196
"dYdX1713",1713,"dYdX",0.0471400550462544,-1.30731394732551,1.41670362427664,TRUE,1.0004959599358
"dYdX1714",1714,"dYdX",-0.142665604610226,-1.52088092619913,1.26968416453032,TRUE,1.00046898533897
"dYdX1715",1715,"dYdX",-0.301100696030438,-1.69236964144112,1.12700547760615,TRUE,1.00044310584963
"dYdX1716",1716,"dYdX",11.1168880476913,8.51613223423574,14.139979084256,FALSE,1.00005297569719
"dYdX1717",1717,"dYdX",9.74782761345191,7.44395438702332,12.6213235224307,FALSE,1.00004127284125
"dYdX1718",1718,"dYdX",8.68769058677782,6.62143395251847,11.2272095102081,FALSE,1.00007072605925
"dYdX1719",1719,"dYdX",7.6143715548871,5.8625468862612,9.80117717615756,FALSE,1.0001157061147
"dYdX1720",1720,"dYdX",6.13984322841643,4.65801037068628,8.01797358914443,FALSE,1.00015807657415
"dYdX1721",1721,"dYdX",4.54815861203229,3.21273529129647,6.26984234013231,FALSE,1.00021351698963
"dYdX1722",1722,"dYdX",3.13737440275654,1.87125007323725,4.66175623535206,FALSE,1.00033476917547
"dYdX1723",1723,"dYdX",2.18681443923685,1.01565920225349,3.47093421019985,FALSE,1.00052523960174
"dYdX1724",1724,"dYdX",1.2225102810968,0.00931395124543332,2.47225344273787,FALSE,1.00061629548866
"dYdX1725",1725,"dYdX",0.519447221678518,-0.756476127424968,1.79576332605754,TRUE,1.00060927355841
"dYdX1726",1726,"dYdX",-0.129340715308074,-1.47418600291235,1.23330665272718,TRUE,1.00056296958297
"dYdX1727",1727,"dYdX",-0.807162924820531,-2.23087508671076,0.627580495252723,TRUE,1.00050989484882
"dYdX1728",1728,"dYdX",-1.2075488189686,-2.70086485546384,0.301587346571162,TRUE,1.00050224677775
"dYdX1729",1729,"dYdX",-1.64208171400454,-3.1986454906536,-0.0505969063153014,FALSE,1.00047267125627
"dYdX1730",1730,"dYdX",-1.80084352292525,-3.34576927979916,-0.223971714412207,FALSE,1.00045446692011
"dYdX1731",1731,"dYdX",-1.98098696827299,-3.58064888334238,-0.344498811959137,FALSE,1.00046078234849
"dYdX1732",1732,"dYdX",-2.12190889045206,-3.74111483642442,-0.45438351841744,FALSE,1.00042894313937
"dYdX1733",1733,"dYdX",-2.15171427070178,-3.7940616789782,-0.467377275449786,FALSE,1.00041266591264
"dYdX1734",1734,"dYdX",-2.19757058575048,-3.86295083973498,-0.485015130530366,FALSE,1.00040349380008
"dYdX1735",1735,"dYdX",9.53799612257775,7.64119205863562,11.780686441173,FALSE,1.00001945183307
"dYdX1736",1736,"dYdX",7.9342894112632,6.36596556575626,9.96820336992231,FALSE,1.00001172556305
"dYdX1737",1737,"dYdX",6.48374870269048,5.18424464497888,8.18370476249024,FALSE,1.00009100501989
"dYdX1738",1738,"dYdX",5.83239530009753,4.71040964116109,7.09586144598495,FALSE,1.00040942051885
"dYdX1739",1739,"dYdX",4.69751953848675,3.70893298509213,5.7178396292153,FALSE,1.00041951345273
"dYdX1740",1740,"dYdX",3.30938068748111,2.34185675334841,4.30481412841744,FALSE,1.00070166197652
"dYdX1741",1741,"dYdX",2.01410255454554,0.983282349321221,3.08930601279841,FALSE,1.00077330865966
"dYdX1742",1742,"dYdX",0.513844099387931,-0.668094404640201,1.75741448992413,TRUE,1.0007079827939
"dYdX1743",1743,"dYdX",-0.356850668529996,-1.65838151852127,1.00910601814878,TRUE,1.00070517615849
"dYdX1744",1744,"dYdX",-1.10724742160747,-2.54083211591868,0.389113837888152,TRUE,1.0006510209109
"dYdX1745",1745,"dYdX",-1.66420873724884,-3.18391213513666,-0.0841704129072527,FALSE,1.0005422575803
"dYdX1746",1746,"dYdX",-1.94626637792773,-3.52949299496412,-0.303530303202066,FALSE,1.00049340917258
"dYdX1747",1747,"dYdX",-2.36966957188216,-4.00917701409322,-0.659743632656569,FALSE,1.0004479086797
"dYdX1748",1748,"dYdX",-2.75104846348429,-4.45459635268067,-0.975271311441661,FALSE,1.00042841758098
"dYdX1749",1749,"dYdX",-3.05132142418246,-4.810921180636,-1.22333867003348,FALSE,1.0004313063719
"dYdX1750",1750,"dYdX",-3.1090951691411,-4.9453635980973,-1.25395093498438,FALSE,1.00041569687769
"dYdX1751",1751,"dYdX",-3.32674072196744,-5.17470491137203,-1.437523477751,FALSE,1.00040010747889
"dYdX1752",1752,"dYdX",-3.46771393469828,-5.33720733292334,-1.55741221749986,FALSE,1.00039185284872
"dYdX1753",1753,"dYdX",-3.44739504471853,-5.35681727038349,-1.54349514462721,FALSE,1.0003827631195
"dYdX1754",1754,"dYdX",8.84794982584537,7.26744211490897,10.8540140905728,FALSE,0.999959063484725
"dYdX1755",1755,"dYdX",7.09876065773541,5.83611210683787,8.81575575791746,FALSE,0.999950768850704
"dYdX1756",1756,"dYdX",5.56538467723635,4.48896422623514,6.98808537051264,FALSE,1.00021594999274
"dYdX1757",1757,"dYdX",4.39359813706518,3.45855436536421,5.47588826346439,FALSE,1.00054795228403
"dYdX1758",1758,"dYdX",3.31300451359146,2.41907130984384,4.25912697636747,FALSE,1.00081631234418
"dYdX1759",1759,"dYdX",2.25536279276264,1.27742269207866,3.30791995673727,FALSE,1.00076684808684
"dYdX1760",1760,"dYdX",0.658779110721696,-0.488431352104434,1.91636278195892,TRUE,1.00062587326608
"dYdX1761",1761,"dYdX",-0.916379862619652,-2.24581061712528,0.545675572347499,TRUE,1.00062220534246
"dYdX1762",1762,"dYdX",-2.40397039197927,-3.90226302930496,-0.785059919751569,FALSE,1.00069508023515
"dYdX1763",1763,"dYdX",-3.36580852984615,-5.00440265261658,-1.61290106283746,FALSE,1.00065699592692
"dYdX1764",1764,"dYdX",-4.12542179168739,-5.87767092814207,-2.25368247775078,FALSE,1.00057942525142
"dYdX1765",1765,"dYdX",-4.77053295215715,-6.66426967304714,-2.78844229491117,FALSE,1.00050501906904
"dYdX1766",1766,"dYdX",-5.09810825437389,-7.0587064213728,-3.04396055952444,FALSE,1.00044799394469
"dYdX1767",1767,"dYdX",-5.59536634936684,-7.64453314188628,-3.47191925722399,FALSE,1.00042359796956
"dYdX1768",1768,"dYdX",-6.17404900593256,-8.34503357147209,-3.93005615196407,FALSE,1.00041029286034
"dYdX1769",1769,"dYdX",-6.48203612028791,-8.70844017858933,-4.17989655248849,FALSE,1.00039157216441
"dYdX1770",1770,"dYdX",-6.61831445352423,-8.87660270551693,-4.29918981819568,FALSE,1.00038217654212
"dYdX1771",1771,"dYdX",-6.60618419508301,-8.83669961200749,-4.29329470639663,FALSE,1.0003618748261
"dYdX1772",1772,"dYdX",-6.46960059697625,-8.70019891046478,-4.16902242486962,FALSE,1.00035439105187
"dYdX1773",1773,"dYdX",8.33031341978915,6.63268833723011,10.4106710389213,FALSE,1.00000561614961
"dYdX1774",1774,"dYdX",6.51241451270193,5.15039574115068,8.36328515271299,FALSE,1.00002997062703
"dYdX1775",1775,"dYdX",4.96181345147273,3.73906695654896,6.62032851932725,FALSE,1.00027280662785
"dYdX1776",1776,"dYdX",3.77691684435385,2.73436682469129,5.03319037355773,FALSE,1.00057925852907
"dYdX1777",1777,"dYdX",2.69204571315153,1.72229982847854,3.72316555306608,FALSE,1.00088251791492
"dYdX1778",1778,"dYdX",1.62840922470571,0.675485368308986,2.61147520414193,FALSE,1.00096534340326
